day,hour,tweets,Links,Users
3,2,38209,5654,5723
3,3,125022,19563,16607
3,4,141432,22760,18124
3,5,167269,26659,20355
3,6,189976,29644,21954
3,7,207205,32356,22804
3,8,211899,33553,22373
3,9,213192,33713,22979
3,10,198869,31001,22000
3,11,182475,28032,21039
3,12,177990,25928,20141
3,13,173265,24460,18804
3,14,171282,25100,18424
3,15,168092,23875,17577
3,16,161299,23898,16957
3,17,156758,23012,16376
3,18,165547,24057,17009
3,19,173308,25164,17855
3,20,175070,26545,17324
3,21,173454,25768,17015
3,22,156316,22542,15112
3,23,125496,19417,12168
4,0,112006,17021,11440
4,1,111562,17214,11848
4,2,114898,17345,12111
4,3,122887,19164,12907
4,4,136355,21333,13867
4,5,159744,25109,15578
4,6,175912,27080,16521
4,7,199576,31077,17934
4,8,208213,33121,19098
4,9,208430,33376,19374
4,10,195608,29483,18890
4,11,190977,27814,18782
4,12,192806,26928,18295
4,13,199725,26796,18403
4,14,187016,25808,17274
4,15,176625,25537,15629
4,16,167618,23778,15055
4,17,176171,24653,15253
4,18,195817,27585,16232
4,19,201654,27712,15823
4,20,197321,29372,14830
4,21,165819,25603,12177
4,22,142091,22847,10967
4,23,114445,19450,9586
5,0,98396,16153,8684
5,1,94388,14753,8609
5,2,101445,15901,9329
5,3,124242,20190,11358
5,4,149533,23649,13206
5,5,166197,25322,14425
5,6,184431,28029,15594
5,7,197797,30189,16445
5,8,204939,31634,19960
5,9,204078,31985,20246
5,10,183694,28902,17258
5,11,181115,26693,16395
5,12,183915,26100,16320
5,13,205141,26542,16916
5,14,211113,27612,18568
5,15,182294,25018,15642
5,16,173149,24426,14455
5,17,193672,26797,16199
5,18,215398,29047,16436
5,19,225862,31122,16376
5,20,204600,28413,15017
5,21,168105,24459,12190
5,22,137100,21261,10072
5,23,116703,18388,9192
6,0,97859,15687,8188
6,1,88148,14218,7675
6,2,95969,14771,8313
6,3,116622,19022,10168
6,4,141658,21290,11971
6,5,163191,25206,13583
6,6,185793,28161,14627
6,7,200460,30369,17355
6,8,205050,31459,18390
6,9,195831,30913,17891
6,10,183739,28702,15956
6,11,177004,26597,15631
6,12,186879,25891,16069
6,13,194840,26216,16086
6,14,180621,24369,14671
6,15,175490,24101,14895
6,16,164683,23565,13350
6,17,156364,21900,13395
6,18,199758,27817,15484
6,19,213763,29906,15536
6,20,199050,27797,14450
6,21,163093,23460,11524
6,22,137956,21653,10227
6,23,117668,18591,9025
7,0,100032,15755,8540
7,1,94100,15233,8325
7,2,102228,16534,9040
7,3,119902,19560,10599
7,4,150987,22956,12685
7,5,172579,27310,14156
7,6,192274,28698,15055
7,7,205348,31002,16096
7,8,208899,32139,16418
7,9,194538,30198,16265
7,10,184589,27654,15794
7,11,177473,25708,15269
7,12,180524,25142,15322
7,13,195032,25517,16046
7,14,193810,25710,15528
7,15,177379,24049,14345
7,16,168121,23933,13472
7,17,174982,24283,13900
7,18,198854,28099,15132
7,19,221316,29682,15577
7,20,197377,27727,13940
7,21,163291,24055,11286
7,22,136703,21418,9998
7,23,119481,18986,9085
8,0,103218,15766,8531
8,1,93008,14880,8224
8,2,103861,16371,8905
8,3,122510,19923,10517
8,4,147432,22273,12620
8,5,171786,25674,14016
8,6,189119,28010,15028
8,7,202643,31098,15553
8,8,203844,31329,15811
8,9,198625,31344,16253
8,10,190161,29775,16512
8,11,180676,27292,15513
8,12,187890,26143,15517
8,13,192640,26609,15299
8,14,190156,25963,15136
8,15,184047,24099,14643
8,16,170352,23343,13854
8,17,200045,27164,16107
8,18,234514,30151,17861
8,19,242631,31119,18773
8,20,204034,28094,14725
8,21,158447,22943,11133
8,22,137409,21402,9972
8,23,123375,18893,9470
9,0,102313,15585,8705
9,1,100145,15048,8369
9,2,106520,16552,9175
9,3,126921,20288,10819
9,4,151968,22987,12888
9,5,174853,26136,14587
9,6,196333,28512,16186
9,7,197414,28717,16207
9,8,205663,31207,16607
9,9,200520,31217,17062
9,10,189790,28824,16734
9,11,179349,26342,15824
9,12,178806,24358,15404
9,13,177471,23244,14742
9,14,174586,23663,14717
9,15,171498,23844,14445
9,16,165121,22477,13708
9,17,161926,22734,13945
9,18,164875,23487,14136
9,19,171022,24182,14136
9,20,164615,23236,13475
9,21,147081,21314,11990
9,22,126381,18518,10399
9,23,115969,17475,9610
10,0,111506,16584,10212
10,1,110378,16184,10500
10,2,114779,16948,10642
10,3,126298,19271,12039
10,4,148127,22697,13905
10,5,167569,25685,15550
10,6,190420,28762,17242
10,7,204810,30432,17860
10,8,212489,32449,18291
10,9,206429,31947,18242
10,10,196245,30240,18130
10,11,184880,27306,17886
10,12,196913,28789,20124
10,13,10986,1573,1150
